2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval から 162 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval_simplified から 63 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/humaneval_simplified-top60 から 60 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval/apr から 271 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval/code_translation から 536 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified/apr から 116 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified/code_translation から 198 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified-top50/apr から 58 件のファイルを検出
2026-06-15 00:07:37 - INFO - 📁 読み込み: /Users/hyoishitobi/PycharmProjects/detect-llm-hard-to-read/data/xcodeeval_simplified-top50/code_translation から 99 件のファイルを検出
2026-06-15 00:07:37 - INFO - 🚀 合計 1563 件のファイルを処理します。
2026-06-15 00:07:37 - INFO - [21/1563] ⏭️ スキップ: HumanEval_59
2026-06-15 00:07:37 - INFO - [22/1563] ⏭️ スキップ: HumanEval_109
2026-06-15 00:07:37 - INFO - [23/1563] ⏭️ スキップ: HumanEval_158
2026-06-15 00:07:37 - INFO - [24/1563] ⏭️ スキップ: HumanEval_129
2026-06-15 00:07:37 - INFO - [25/1563] ⏭️ スキップ: HumanEval_1
2026-06-15 00:07:37 - INFO - [26/1563] ⏭️ スキップ: HumanEval_79
2026-06-15 00:07:37 - INFO - [27/1563] ⏭️ スキップ: HumanEval_28
2026-06-15 00:07:37 - INFO - [28/1563] ⏭️ スキップ: HumanEval_69
2026-06-15 00:07:37 - INFO - [29/1563] ⏭️ スキップ: HumanEval_139
2026-06-15 00:07:37 - INFO - [30/1563] ⏭️ スキップ: HumanEval_17
2026-06-15 00:07:37 - INFO - [31/1563] ⏭️ スキップ: HumanEval_46
2026-06-15 00:07:37 - INFO - [32/1563] ⏭️ スキップ: HumanEval_122
2026-06-15 00:07:37 - INFO - [33/1563] ⏭️ スキップ: HumanEval_72
2026-06-15 00:07:37 - INFO - [34/1563] ⏭️ スキップ: HumanEval_23
2026-06-15 00:07:37 - INFO - [35/1563] ⏭️ スキップ: HumanEval_116
2026-06-15 00:07:37 - INFO - [36/1563] ⏭️ スキップ: HumanEval_147
2026-06-15 00:07:37 - INFO - [37/1563] ⏭️ スキップ: HumanEval_81
2026-06-15 00:07:37 - INFO - [38/1563] ⏭️ スキップ: HumanEval_91
2026-06-15 00:07:37 - INFO - [39/1563] ⏭️ スキップ: HumanEval_157
2026-06-15 00:07:37 - INFO - [40/1563] ⏭️ スキップ: HumanEval_106
2026-06-15 00:07:37 - INFO - [41/1563] ⏭️ スキップ: HumanEval_33
2026-06-15 00:07:37 - INFO - [42/1563] ⏭️ スキップ: HumanEval_62
2026-06-15 00:07:37 - INFO - [43/1563] ⏭️ スキップ: HumanEval_132
2026-06-15 00:07:37 - INFO - [44/1563] ⏭️ スキップ: HumanEval_163
2026-06-15 00:07:37 - INFO - [45/1563] ⏭️ スキップ: HumanEval_56
2026-06-15 00:07:37 - INFO - [46/1563] ⏭️ スキップ: HumanEval_27
2026-06-15 00:07:37 - INFO - [47/1563] ⏭️ スキップ: HumanEval_76
2026-06-15 00:07:37 - INFO - [48/1563] ⏭️ スキップ: HumanEval_143
2026-06-15 00:07:37 - INFO - [49/1563] ⏭️ スキップ: HumanEval_85
2026-06-15 00:07:37 - INFO - [50/1563] ⏭️ スキップ: HumanEval_112
2026-06-15 00:07:37 - INFO - [51/1563] ⏭️ スキップ: HumanEval_42
2026-06-15 00:07:37 - INFO - [52/1563] ⏭️ スキップ: HumanEval_13
2026-06-15 00:07:37 - INFO - [53/1563] ⏭️ スキップ: HumanEval_126
2026-06-15 00:07:37 - INFO - [54/1563] ⏭️ スキップ: HumanEval_136
2026-06-15 00:07:37 - INFO - [55/1563] ⏭️ スキップ: HumanEval_52
2026-06-15 00:07:37 - INFO - [56/1563] ⏭️ スキップ: HumanEval_102
2026-06-15 00:07:37 - INFO - [57/1563] ⏭️ スキップ: HumanEval_95
2026-06-15 00:07:37 - INFO - [58/1563] ⏭️ スキップ: HumanEval_153
2026-06-15 00:07:37 - INFO - [59/1563] ⏭️ スキップ: HumanEval_66
2026-06-15 00:07:37 - INFO - [60/1563] ⏭️ スキップ: HumanEval_37
2026-06-15 00:07:37 - INFO - [61/1563] ⏭️ スキップ: HumanEval_26
2026-06-15 00:07:37 - INFO - [62/1563] ⏭️ スキップ: HumanEval_77
2026-06-15 00:07:37 - INFO - [63/1563] ⏭️ スキップ: HumanEval_142
2026-06-15 00:07:37 - INFO - [64/1563] ⏭️ スキップ: HumanEval_84
2026-06-15 00:07:37 - INFO - [65/1563] ⏭️ スキップ: HumanEval_113
2026-06-15 00:07:37 - INFO - [66/1563] ⏭️ スキップ: HumanEval_43
2026-06-15 00:07:37 - INFO - [67/1563] ⏭️ スキップ: HumanEval_12
2026-06-15 00:07:37 - INFO - [68/1563] ⏭️ スキップ: HumanEval_127
2026-06-15 00:07:37 - INFO - [69/1563] ⏭️ スキップ: HumanEval_137
2026-06-15 00:07:37 - INFO - [70/1563] ⏭️ スキップ: HumanEval_53
2026-06-15 00:07:37 - INFO - [71/1563] ⏭️ スキップ: HumanEval_103
2026-06-15 00:07:37 - INFO - [72/1563] ⏭️ スキップ: HumanEval_94
2026-06-15 00:07:37 - INFO - [73/1563] ⏭️ スキップ: HumanEval_152
2026-06-15 00:07:37 - INFO - [74/1563] ⏭️ スキップ: HumanEval_67
2026-06-15 00:07:37 - INFO - [75/1563] ⏭️ スキップ: HumanEval_36
2026-06-15 00:07:37 - INFO - [76/1563] ⏭️ スキップ: HumanEval_16
2026-06-15 00:07:37 - INFO - [77/1563] ⏭️ スキップ: HumanEval_47
2026-06-15 00:07:37 - INFO - [78/1563] ⏭️ スキップ: HumanEval_123
2026-06-15 00:07:37 - INFO - [79/1563] ⏭️ スキップ: HumanEval_73
2026-06-15 00:07:37 - INFO - [80/1563] ⏭️ スキップ: HumanEval_22
2026-06-15 00:07:37 - INFO - [81/1563] ⏭️ スキップ: HumanEval_117
2026-06-15 00:07:37 - INFO - [82/1563] ⏭️ スキップ: HumanEval_146
2026-06-15 00:07:37 - INFO - [83/1563] ⏭️ スキップ: HumanEval_80
2026-06-15 00:07:37 - INFO - [84/1563] ⏭️ スキップ: HumanEval_90
2026-06-15 00:07:37 - INFO - [85/1563] ⏭️ スキップ: HumanEval_156
2026-06-15 00:07:37 - INFO - [86/1563] ⏭️ スキップ: HumanEval_107
2026-06-15 00:07:37 - INFO - [87/1563] ⏭️ スキップ: HumanEval_32
2026-06-15 00:07:37 - INFO - [88/1563] ⏭️ スキップ: HumanEval_63
2026-06-15 00:07:37 - INFO - [89/1563] ⏭️ スキップ: HumanEval_133
2026-06-15 00:07:37 - INFO - [90/1563] ⏭️ スキップ: HumanEval_162
2026-06-15 00:07:37 - INFO - [91/1563] ⏭️ スキップ: HumanEval_57
2026-06-15 00:07:37 - INFO - [92/1563] ⏭️ スキップ: HumanEval_110
2026-06-15 00:07:37 - INFO - [93/1563] ⏭️ スキップ: HumanEval_141
2026-06-15 00:07:37 - INFO - [94/1563] ⏭️ スキップ: HumanEval_87
2026-06-15 00:07:37 - INFO - [95/1563] ⏭️ スキップ: HumanEval_74
2026-06-15 00:07:37 - INFO - [96/1563] ⏭️ スキップ: HumanEval_25
2026-06-15 00:07:37 - INFO - [97/1563] ⏭️ スキップ: HumanEval_124
2026-06-15 00:07:37 - INFO - [98/1563] ⏭️ スキップ: HumanEval_11
2026-06-15 00:07:37 - INFO - [99/1563] ⏭️ スキップ: HumanEval_40
2026-06-15 00:07:37 - INFO - [100/1563] ⏭️ スキップ: HumanEval_134
2026-06-15 00:07:37 - INFO - [101/1563] ⏭️ スキップ: HumanEval_35
2026-06-15 00:07:37 - INFO - [102/1563] ⏭️ スキップ: HumanEval_64
2026-06-15 00:07:37 - INFO - [103/1563] ⏭️ スキップ: HumanEval_97
2026-06-15 00:07:37 - INFO - [104/1563] ⏭️ スキップ: HumanEval_151
2026-06-15 00:07:37 - INFO - [105/1563] ⏭️ スキップ: HumanEval_100
2026-06-15 00:07:37 - INFO - [106/1563] ⏭️ スキップ: HumanEval_120
2026-06-15 00:07:37 - INFO - [107/1563] ⏭️ スキップ: HumanEval_44
2026-06-15 00:07:37 - INFO - [108/1563] ⏭️ スキップ: HumanEval_15
2026-06-15 00:07:37 - INFO - [109/1563] ⏭️ スキップ: HumanEval_145
2026-06-15 00:07:37 - INFO - [110/1563] ⏭️ スキップ: HumanEval_8
2026-06-15 00:07:37 - INFO - [111/1563] ⏭️ スキップ: HumanEval_83
2026-06-15 00:07:37 - INFO - [112/1563] ⏭️ スキップ: HumanEval_114
2026-06-15 00:07:37 - INFO - [113/1563] ⏭️ スキップ: HumanEval_21
2026-06-15 00:07:37 - INFO - [114/1563] ⏭️ スキップ: HumanEval_70
2026-06-15 00:07:37 - INFO - [115/1563] ⏭️ スキップ: HumanEval_60
2026-06-15 00:07:37 - INFO - [116/1563] ⏭️ スキップ: HumanEval_31
2026-06-15 00:07:37 - INFO - [117/1563] ⏭️ スキップ: HumanEval_104
2026-06-15 00:07:37 - INFO - [118/1563] ⏭️ スキップ: HumanEval_93
2026-06-15 00:07:37 - INFO - [119/1563] ⏭️ スキップ: HumanEval_155
2026-06-15 00:07:37 - INFO - [120/1563] ⏭️ スキップ: HumanEval_54
2026-06-15 00:07:37 - INFO - [121/1563] ⏭️ スキップ: HumanEval_161
2026-06-15 00:07:37 - INFO - [122/1563] ⏭️ スキップ: HumanEval_130
2026-06-15 00:07:37 - INFO - [123/1563] ⏭️ スキップ: HumanEval_121
2026-06-15 00:07:37 - INFO - [124/1563] ⏭️ スキップ: HumanEval_45
2026-06-15 00:07:37 - INFO - [125/1563] ⏭️ スキップ: HumanEval_14
2026-06-15 00:07:37 - INFO - [126/1563] ⏭️ スキップ: HumanEval_9
2026-06-15 00:07:37 - INFO - [127/1563] ⏭️ スキップ: HumanEval_144
2026-06-15 00:07:37 - INFO - [128/1563] ⏭️ スキップ: HumanEval_82
2026-06-15 00:07:37 - INFO - [129/1563] ⏭️ スキップ: HumanEval_115
2026-06-15 00:07:37 - INFO - [130/1563] ⏭️ スキップ: HumanEval_20
2026-06-15 00:07:37 - INFO - [131/1563] ⏭️ スキップ: HumanEval_71
2026-06-15 00:07:37 - INFO - [132/1563] ⏭️ スキップ: HumanEval_61
2026-06-15 00:07:37 - INFO - [133/1563] ⏭️ スキップ: HumanEval_30
2026-06-15 00:07:37 - INFO - [134/1563] ⏭️ スキップ: HumanEval_105
2026-06-15 00:07:37 - INFO - [135/1563] ⏭️ スキップ: HumanEval_92
2026-06-15 00:07:37 - INFO - [136/1563] ⏭️ スキップ: HumanEval_154
2026-06-15 00:07:37 - INFO - [137/1563] ⏭️ スキップ: HumanEval_55
2026-06-15 00:07:37 - INFO - [138/1563] ⏭️ スキップ: HumanEval_160
2026-06-15 00:07:37 - INFO - [139/1563] ⏭️ スキップ: HumanEval_131
2026-06-15 00:07:37 - INFO - [140/1563] ⏭️ スキップ: HumanEval_111
2026-06-15 00:07:37 - INFO - [141/1563] ⏭️ スキップ: HumanEval_140
2026-06-15 00:07:37 - INFO - [142/1563] ⏭️ スキップ: HumanEval_86
2026-06-15 00:07:37 - INFO - [143/1563] ⏭️ スキップ: HumanEval_75
2026-06-15 00:07:37 - INFO - [144/1563] ⏭️ スキップ: HumanEval_24
2026-06-15 00:07:37 - INFO - [145/1563] ⏭️ スキップ: HumanEval_125
2026-06-15 00:07:37 - INFO - [146/1563] ⏭️ スキップ: HumanEval_10
2026-06-15 00:07:37 - INFO - [147/1563] ⏭️ スキップ: HumanEval_41
2026-06-15 00:07:37 - INFO - [148/1563] ⏭️ スキップ: HumanEval_51
2026-06-15 00:07:37 - INFO - [149/1563] ⏭️ スキップ: HumanEval_135
2026-06-15 00:07:37 - INFO - [150/1563] ⏭️ スキップ: HumanEval_34
2026-06-15 00:07:37 - INFO - [151/1563] ⏭️ スキップ: HumanEval_65
2026-06-15 00:07:37 - INFO - [152/1563] ⏭️ スキップ: HumanEval_96
2026-06-15 00:07:37 - INFO - [153/1563] ⏭️ スキップ: HumanEval_150
2026-06-15 00:07:37 - INFO - [154/1563] ⏭️ スキップ: HumanEval_101
2026-06-15 00:07:37 - INFO - [155/1563] ⏭️ スキップ: HumanEval_6
2026-06-15 00:07:37 - INFO - [156/1563] ⏭️ スキップ: HumanEval_2
2026-06-15 00:07:37 - INFO - [157/1563] ⏭️ スキップ: HumanEval_89
2026-06-15 00:07:37 - INFO - [158/1563] ⏭️ スキップ: HumanEval_99
2026-06-15 00:07:37 - INFO - [159/1563] ⏭️ スキップ: HumanEval_3
2026-06-15 00:07:37 - INFO - [160/1563] ⏭️ スキップ: HumanEval_88
2026-06-15 00:07:37 - INFO - [161/1563] ⏭️ スキップ: HumanEval_98
2026-06-15 00:07:37 - INFO - [162/1563] ⏭️ スキップ: HumanEval_7
2026-06-15 00:07:37 - INFO - [163/1563] ⏭️ スキップ: HumanEval_0
2026-06-15 00:07:37 - INFO - [164/1563] ⏭️ スキップ: HumanEval_78
2026-06-15 00:07:37 - INFO - [165/1563] ⏭️ スキップ: HumanEval_39
2026-06-15 00:07:37 - INFO - [166/1563] ⏭️ スキップ: HumanEval_149
2026-06-15 00:07:37 - INFO - [167/1563] ⏭️ スキップ: HumanEval_108
2026-06-15 00:07:37 - INFO - [168/1563] ⏭️ スキップ: HumanEval_159
2026-06-15 00:07:37 - INFO - [169/1563] ⏭️ スキップ: HumanEval_5
2026-06-15 00:07:37 - INFO - [170/1563] ⏭️ スキップ: HumanEval_119
2026-06-15 00:07:37 - INFO - [171/1563] ⏭️ スキップ: HumanEval_129
2026-06-15 00:07:37 - INFO - [172/1563] ⏭️ スキップ: HumanEval_46
2026-06-15 00:07:37 - INFO - [173/1563] ⏭️ スキップ: HumanEval_72
2026-06-15 00:07:37 - INFO - [174/1563] ⏭️ スキップ: HumanEval_147
2026-06-15 00:07:37 - INFO - [175/1563] ⏭️ スキップ: HumanEval_91
2026-06-15 00:07:37 - INFO - [176/1563] ⏭️ スキップ: HumanEval_106
2026-06-15 00:07:37 - INFO - [177/1563] ⏭️ スキップ: HumanEval_132
2026-06-15 00:07:37 - INFO - [178/1563] ⏭️ スキップ: HumanEval_56
2026-06-15 00:07:37 - INFO - [179/1563] ⏭️ スキップ: HumanEval_76
2026-06-15 00:07:37 - INFO - [180/1563] ⏭️ スキップ: HumanEval_95
2026-06-15 00:07:37 - INFO - [181/1563] ⏭️ スキップ: HumanEval_37
2026-06-15 00:07:37 - INFO - [182/1563] ⏭️ スキップ: HumanEval_26
2026-06-15 00:07:37 - INFO - [183/1563] ⏭️ スキップ: HumanEval_113
2026-06-15 00:07:37 - INFO - [184/1563] ⏭️ スキップ: HumanEval_127
2026-06-15 00:07:37 - INFO - [185/1563] ⏭️ スキップ: HumanEval_94
2026-06-15 00:07:37 - INFO - [186/1563] ⏭️ スキップ: HumanEval_67
2026-06-15 00:07:37 - INFO - [187/1563] ⏭️ スキップ: HumanEval_36
2026-06-15 00:07:37 - INFO - [188/1563] ⏭️ スキップ: HumanEval_47
2026-06-15 00:07:37 - INFO - [189/1563] ⏭️ スキップ: HumanEval_123
2026-06-15 00:07:37 - INFO - [190/1563] ⏭️ スキップ: HumanEval_117
2026-06-15 00:07:37 - INFO - [191/1563] ⏭️ スキップ: HumanEval_146
2026-06-15 00:07:37 - INFO - [192/1563] ⏭️ スキップ: HumanEval_156
2026-06-15 00:07:37 - INFO - [193/1563] ⏭️ スキップ: HumanEval_32
2026-06-15 00:07:37 - INFO - [194/1563] ⏭️ スキップ: HumanEval_133
2026-06-15 00:07:37 - INFO - [195/1563] ⏭️ スキップ: HumanEval_110
2026-06-15 00:07:37 - INFO - [196/1563] ⏭️ スキップ: HumanEval_74
2026-06-15 00:07:37 - INFO - [197/1563] ⏭️ スキップ: HumanEval_25
2026-06-15 00:07:37 - INFO - [198/1563] ⏭️ スキップ: HumanEval_124
2026-06-15 00:07:37 - INFO - [199/1563] ⏭️ スキップ: HumanEval_11
2026-06-15 00:07:37 - INFO - [200/1563] ⏭️ スキップ: HumanEval_40
2026-06-15 00:07:37 - INFO - [201/1563] ⏭️ スキップ: HumanEval_35
2026-06-15 00:07:37 - INFO - [202/1563] ⏭️ スキップ: HumanEval_64
2026-06-15 00:07:37 - INFO - [203/1563] ⏭️ スキップ: HumanEval_120
2026-06-15 00:07:37 - INFO - [204/1563] ⏭️ スキップ: HumanEval_44
2026-06-15 00:07:37 - INFO - [205/1563] ⏭️ スキップ: HumanEval_114
2026-06-15 00:07:37 - INFO - [206/1563] ⏭️ スキップ: HumanEval_104
2026-06-15 00:07:37 - INFO - [207/1563] ⏭️ スキップ: HumanEval_155
2026-06-15 00:07:37 - INFO - [208/1563] ⏭️ スキップ: HumanEval_14
2026-06-15 00:07:37 - INFO - [209/1563] ⏭️ スキップ: HumanEval_9
2026-06-15 00:07:37 - INFO - [210/1563] ⏭️ スキップ: HumanEval_20
2026-06-15 00:07:37 - INFO - [211/1563] ⏭️ スキップ: HumanEval_61
2026-06-15 00:07:37 - INFO - [212/1563] ⏭️ スキップ: HumanEval_105
2026-06-15 00:07:37 - INFO - [213/1563] ⏭️ スキップ: HumanEval_154
2026-06-15 00:07:37 - INFO - [214/1563] ⏭️ スキップ: HumanEval_131
2026-06-15 00:07:37 - INFO - [215/1563] ⏭️ スキップ: HumanEval_111
2026-06-15 00:07:37 - INFO - [216/1563] ⏭️ スキップ: HumanEval_140
2026-06-15 00:07:37 - INFO - [217/1563] ⏭️ スキップ: HumanEval_125
2026-06-15 00:07:37 - INFO - [218/1563] ⏭️ スキップ: HumanEval_135
2026-06-15 00:07:37 - INFO - [219/1563] ⏭️ スキップ: HumanEval_65
2026-06-15 00:07:37 - INFO - [220/1563] ⏭️ スキップ: HumanEval_96
2026-06-15 00:07:37 - INFO - [221/1563] ⏭️ スキップ: HumanEval_150
2026-06-15 00:07:37 - INFO - [222/1563] ⏭️ スキップ: HumanEval_101
2026-06-15 00:07:37 - INFO - [223/1563] ⏭️ スキップ: HumanEval_6
2026-06-15 00:07:37 - INFO - [224/1563] ⏭️ スキップ: HumanEval_3
2026-06-15 00:07:37 - INFO - [225/1563] ⏭️ スキップ: HumanEval_98
2026-06-15 00:07:37 - INFO - [226/1563] ⏭️ スキップ: HumanEval_0
2026-06-15 00:07:37 - INFO - [227/1563] ⏭️ スキップ: HumanEval_78
2026-06-15 00:07:37 - INFO - [228/1563] ⏭️ スキップ: HumanEval_39
2026-06-15 00:07:37 - INFO - [229/1563] ⏭️ スキップ: HumanEval_149
2026-06-15 00:07:37 - INFO - [230/1563] ⏭️ スキップ: HumanEval_159
2026-06-15 00:07:37 - INFO - [231/1563] ⏭️ スキップ: HumanEval_5
2026-06-15 00:07:37 - INFO - [232/1563] ⏭️ スキップ: HumanEval_119
2026-06-15 00:07:37 - INFO - [233/1563] ⏭️ スキップ: HumanEval_18
2026-06-15 00:07:37 - INFO - [234/1563] ▶️ 処理開始: HumanEval_1 (HumanEval_1.py) -> out/humaneval_simplified-top60/result_HumanEval_1.parquet
2026-06-15T00:07:43 | INFO    | model.hf_causal_lm | Loading tokenizer: codellama/CodeLlama-7b-hf
2026-06-15T00:07:44 | INFO    | model.hf_causal_lm | Loading model: codellama/CodeLlama-7b-hf (device=mps)
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/291 [00:00<?, ?it/s]Loading weights:   0%|          | 1/291 [00:00<01:58,  2.44it/s]Loading weights:   5%|▌         | 15/291 [00:00<00:07, 34.64it/s]Loading weights:   8%|▊         | 22/291 [00:00<00:06, 42.57it/s]Loading weights:  11%|█         | 31/291 [00:00<00:05, 46.22it/s]Loading weights:  14%|█▎        | 40/291 [00:01<00:05, 48.14it/s]Loading weights:  17%|█▋        | 49/291 [00:01<00:05, 46.89it/s]Loading weights:  20%|█▉        | 58/291 [00:01<00:04, 47.62it/s]Loading weights:  23%|██▎       | 67/291 [00:01<00:04, 51.54it/s]Loading weights:  26%|██▌       | 76/291 [00:01<00:04, 52.88it/s]Loading weights:  29%|██▉       | 85/291 [00:01<00:03, 52.23it/s]Loading weights:  32%|███▏      | 94/291 [00:02<00:03, 53.97it/s]Loading weights:  35%|███▌      | 103/291 [00:02<00:03, 54.45it/s]Loading weights:  38%|███▊      | 112/291 [00:02<00:03, 48.65it/s]Loading weights:  42%|████▏     | 121/291 [00:02<00:03, 43.25it/s]Loading weights:  44%|████▍     | 128/291 [00:02<00:03, 46.75it/s]Loading weights:  46%|████▌     | 134/291 [00:02<00:03, 40.75it/s]Loading weights:  48%|████▊     | 139/291 [00:04<00:11, 13.65it/s]Loading weights:  50%|████▉     | 145/291 [00:04<00:08, 16.87it/s]Loading weights:  51%|█████     | 149/291 [00:04<00:08, 16.91it/s]Loading weights:  53%|█████▎    | 155/291 [00:04<00:06, 21.61it/s]Loading weights:  55%|█████▍    | 159/291 [00:05<00:07, 18.30it/s]Loading weights:  57%|█████▋    | 166/291 [00:05<00:06, 18.24it/s]Loading weights:  59%|█████▉    | 172/291 [00:05<00:06, 19.49it/s]Loading weights:  60%|██████    | 175/291 [00:05<00:06, 18.64it/s]Loading weights:  62%|██████▏   | 181/291 [00:05<00:04, 24.18it/s]Loading weights:  64%|██████▎   | 185/291 [00:06<00:05, 21.05it/s]Loading weights:  66%|██████▋   | 193/291 [00:06<00:04, 22.84it/s]Loading weights:  68%|██████▊   | 199/291 [00:06<00:03, 25.22it/s]Loading weights:  69%|██████▉   | 202/291 [00:07<00:04, 18.19it/s]Loading weights:  70%|███████   | 205/291 [00:07<00:04, 19.14it/s]Loading weights:  73%|███████▎  | 211/291 [00:07<00:04, 17.84it/s]Loading weights:  74%|███████▎  | 214/291 [00:07<00:04, 19.00it/s]Loading weights:  76%|███████▌  | 220/291 [00:08<00:03, 19.27it/s]Loading weights:  78%|███████▊  | 226/291 [00:08<00:02, 24.45it/s]Loading weights:  79%|███████▊  | 229/291 [00:08<00:03, 20.25it/s]Loading weights:  81%|████████  | 235/291 [00:08<00:02, 25.19it/s]Loading weights:  82%|████████▏ | 239/291 [00:08<00:02, 21.33it/s]Loading weights:  84%|████████▍ | 245/291 [00:08<00:01, 27.48it/s]Loading weights:  86%|████████▌ | 249/291 [00:09<00:02, 15.79it/s]Loading weights:  87%|████████▋ | 254/291 [00:09<00:01, 18.62it/s]Loading weights:  88%|████████▊ | 257/291 [00:10<00:02, 11.94it/s]Loading weights:  89%|████████▉ | 260/291 [00:10<00:02, 13.43it/s]Loading weights:  90%|█████████ | 263/291 [00:10<00:01, 14.28it/s]Loading weights:  91%|█████████▏| 266/291 [00:11<00:02,  9.10it/s]Loading weights:  93%|█████████▎| 271/291 [00:11<00:01, 12.43it/s]Loading weights:  94%|█████████▍| 274/291 [00:11<00:01,  9.06it/s]Loading weights:  95%|█████████▍| 276/291 [00:12<00:01,  9.73it/s]Loading weights:  96%|█████████▌| 280/291 [00:12<00:00, 12.97it/s]Loading weights:  97%|█████████▋| 283/291 [00:12<00:00,  9.22it/s]Loading weights:  98%|█████████▊| 285/291 [00:12<00:00,  9.82it/s]Loading weights: 100%|█████████▉| 290/291 [00:13<00:00, 14.83it/s]Loading weights: 100%|██████████| 291/291 [00:13<00:00, 22.26it/s]
2026-06-15T00:08:14 | INFO    | model.hf_causal_lm |   -> [Full-sequence] Starting inference for 126 tokens...
2026-06-15T00:08:16 | INFO    | model.hf_causal_lm |   -> [Full-sequence] Finished inference in 1.47 seconds.
